Tube,Temperature,Timestamp
0,-17.6057,2023-04-03T17:33:51
1,-18.1640,2023-04-03T17:39:50
2,-18.3192,2023-04-03T17:41:50
3,-18.7852,2023-04-03T17:47:20
4,-19.8294,2023-04-03T18:01:49
5,-18.1174,2023-04-03T17:39:20
6,-16.7817,2023-04-03T17:26:21
7,-16.9942,2023-04-03T17:28:21
8,-19.1393,2023-04-03T17:52:19
9,-17.9143,2023-04-03T17:36:51
10,-17.1992,2023-04-03T17:29:51
11,-18.2912,2023-04-03T17:41:20
12,-17.6526,2023-04-03T17:34:21
13,-19.6741,2023-04-03T18:00:19
14,-18.7942,2023-04-03T17:47:50
15,-19.6363,2023-04-03T17:59:19
16,-18.5787,2023-04-03T17:44:50
17,-18.1640,2023-04-03T17:39:50
18,-18.2912,2023-04-03T17:41:20
19,-17.5107,2023-04-03T17:33:21
20,-18.5861,2023-04-03T17:45:20
21,-18.7852,2023-04-03T17:47:20
22,-18.1174,2023-04-03T17:39:20
23,-18.5861,2023-04-03T17:45:20
24,-18.7277,2023-04-03T17:46:50
25,-18.1640,2023-04-03T17:39:50
26,-20.5911,2023-04-03T18:13:48
27,-19.0196,2023-04-03T17:50:50
28,-18.3858,2023-04-03T17:42:20
29,-18.2912,2023-04-03T17:41:20
30,-17.6893,2023-04-03T17:34:51
31,-18.5787,2023-04-03T17:44:50
32,-19.1393,2023-04-03T17:52:19
33,-19.2513,2023-04-03T17:53:49
34,-19.9823,2023-04-03T18:04:20
35,-18.1640,2023-04-03T17:39:50
36,-19.1770,2023-04-03T17:52:50
37,-19.3165,2023-04-03T17:54:19
38,-17.4737,2023-04-03T17:32:51
39,-18.3858,2023-04-03T17:42:20
40,-18.5959,2023-04-03T17:45:50
41,-18.2555,2023-04-03T17:40:50
42,-18.5250,2023-04-03T17:43:50
43,-18.5861,2023-04-03T17:45:20
44,-17.4737,2023-04-03T17:32:51
45,-16.9942,2023-04-03T17:28:21
46,-18.5861,2023-04-03T17:45:20
47,-17.5107,2023-04-03T17:33:21
48,-16.1860,2023-04-03T17:21:22
49,-19.5173,2023-04-03T17:57:19
50,-19.6741,2023-04-03T18:00:19
51,-18.7942,2023-04-03T17:47:50
52,-19.0196,2023-04-03T17:50:50
53,-18.1640,2023-04-03T17:39:50
54,-19.5727,2023-04-03T17:58:19
55,-20.0389,2023-04-03T18:04:49
56,-18.5250,2023-04-03T17:43:50
57,-17.9143,2023-04-03T17:36:51
58,-17.6893,2023-04-03T17:34:51
59,-18.4422,2023-04-03T17:42:50
60,-19.5173,2023-04-03T17:57:19
61,-17.6526,2023-04-03T17:34:21
62,-19.0642,2023-04-03T17:51:50
63,-19.1393,2023-04-03T17:52:19
64,-18.7277,2023-04-03T17:46:50
65,-18.3192,2023-04-03T17:41:50
66,-18.3858,2023-04-03T17:42:20
67,-18.3858,2023-04-03T17:42:20
68,-19.0642,2023-04-03T17:51:50
69,-18.7942,2023-04-03T17:47:50
70,-19.5448,2023-04-03T17:57:49
71,-18.9940,2023-04-03T17:49:50
72,-18.5412,2023-04-03T17:44:20
73,-18.9462,2023-04-03T17:49:20
74,-18.7277,2023-04-03T17:46:50
75,-17.3310,2023-04-03T17:31:21
76,-19.0115,2023-04-03T17:50:20
77,-17.2359,2023-04-03T17:30:21
78,-18.7852,2023-04-03T17:47:20
79,-19.5173,2023-04-03T17:57:19
