Tube,Temperature,Timestamp
0,-0.4108,2024-10-14T16:17:31
1,-0.4108,2024-10-14T16:17:31
2,-0.4108,2024-10-14T16:17:31
3,-1.1007,2024-10-14T16:19:01
4,-17.9298,2024-10-14T17:47:55
5,-18.8718,2024-10-14T18:00:54
6,-0.6536,2024-10-14T16:18:01
7,-0.4108,2024-10-14T16:17:31
8,-3.1324,2024-10-14T16:24:00
9,-1.1007,2024-10-14T16:19:01
10,-1.3108,2024-10-14T16:19:30
11,-1.9494,2024-10-14T16:21:00
12,-0.8773,2024-10-14T16:18:31
13,-17.9298,2024-10-14T17:47:55
14,-0.6536,2024-10-14T16:18:01
15,-0.4108,2024-10-14T16:17:31
16,-1.1007,2024-10-14T16:19:01
17,-0.4108,2024-10-14T16:17:31
18,-0.4108,2024-10-14T16:17:31
19,-0.4108,2024-10-14T16:17:31
20,-0.6536,2024-10-14T16:18:01
21,-0.8773,2024-10-14T16:18:31
22,-1.3108,2024-10-14T16:19:30
23,-2.1672,2024-10-14T16:21:30
24,-0.4108,2024-10-14T16:17:31
25,-1.3108,2024-10-14T16:19:30
26,-18.0116,2024-10-14T17:48:54
27,-0.4108,2024-10-14T16:17:31
28,-1.3108,2024-10-14T16:19:30
29,-1.1007,2024-10-14T16:19:01
30,-0.6536,2024-10-14T16:18:01
31,-0.4108,2024-10-14T16:17:31
32,-0.4108,2024-10-14T16:17:31
33,-1.1007,2024-10-14T16:19:01
34,-15.5733,2024-10-14T17:23:26
35,-16.7836,2024-10-14T17:34:55
36,-16.3500,2024-10-14T17:30:26
37,-1.3108,2024-10-14T16:19:30
38,-0.1658,2024-10-14T16:17:01
39,-0.4108,2024-10-14T16:17:31
40,-20.5969,2024-10-14T18:32:51
41,-16.7836,2024-10-14T17:34:55
42,-0.8773,2024-10-14T16:18:31
43,-15.2150,2024-10-14T17:20:27
44,-2.3589,2024-10-14T16:22:00
45,-1.5248,2024-10-14T16:20:00
46,-2.3589,2024-10-14T16:22:00
47,-0.4108,2024-10-14T16:17:31
48,-1.3108,2024-10-14T16:19:30
49,-2.1672,2024-10-14T16:21:30
50,-1.5248,2024-10-14T16:20:00
51,-1.5248,2024-10-14T16:20:00
52,-19.0986,2024-10-14T18:04:24
53,-0.4108,2024-10-14T16:17:31
54,-0.4108,2024-10-14T16:17:31
55,-19.6893,2024-10-14T18:14:23
56,-20.7961,2024-10-14T18:37:51
57,-1.3108,2024-10-14T16:19:30
58,-19.3389,2024-10-14T18:08:23
59,-19.9139,2024-10-14T18:18:23
60,-0.4108,2024-10-14T16:17:31
61,-19.7099,2024-10-14T18:14:53
62,-0.4108,2024-10-14T16:17:31
63,-17.9298,2024-10-14T17:47:55
64,-0.4108,2024-10-14T16:17:31
65,-0.4108,2024-10-14T16:17:31
66,-20.2544,2024-10-14T18:25:22
67,-0.4108,2024-10-14T16:17:31
68,-18.0526,2024-10-14T17:49:25
69,-0.4108,2024-10-14T16:17:31
70,-18.9379,2024-10-14T18:01:54
71,-1.5248,2024-10-14T16:20:00
72,-0.4108,2024-10-14T16:17:31
73,-16.9327,2024-10-14T17:36:25
74,-0.4108,2024-10-14T16:17:31
75,-0.6536,2024-10-14T16:18:01
76,-0.6536,2024-10-14T16:18:01
77,-2.3589,2024-10-14T16:22:00
78,-0.8773,2024-10-14T16:18:31
79,-0.4108,2024-10-14T16:17:31
